Q1,Q2,Q3,Q4_CoD,Q4_CoS,Q4_IA,Q4_CoC,Q4_CoE,Q5,Q6,Q6_6_TEXT,Q7,Q7_8_TEXT,Q8,Q8_5_TEXT,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
Yes,Atlanta,College of Engineering,,,,,School of Civil & Environmental Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,2,,15-20,No,Yes,Monthly,2100,,,7,It is definitely helping me reduce my fear of speaking in front of a classroom. Clarity in communication. 
Yes,Atlanta,College of Computing,,,,School of Cybersecurity,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,10-15,,Yes,Monthly,1050,,,10,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,,Yes,Monthly,1050,,,4,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,10-15,,Yes,Monthly,1050,,,8,"Learning, Articulation, Patience"
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,1,,10-15,,Yes,Monthly,1050,,Compensation is pretty low,7,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Online,Ivan Allen College,,,,,,,,,,,,,,,,,,,,,,,
Yes,Online,Ivan Allen College,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,10-15,,Yes,Monthly,1050,,Health insurance coverage,5,
Yes,Atlanta,College of Design,,,,,,,,,,,,,,,,,,,,,,,
Yes,Online,College of Computing,,,,,,,,,,,,,,,,,,,,,,,
Yes,Online,College of Computing,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Other (Please specify),Instructional Associate,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Did not get a waiver,,Don't know,,10-15,"work more hours than I'm technically signed up for, by choice",Yes,Monthly,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Conducting lab sessions",,Full waiver,,N/A,,10-15,"I work as a GTA and GRA, my work is equal to a full time TA, get a partial salary for TA",Yes,Monthly,,,,,
Yes,Online,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,1,,15-20,,Yes,Monthly,1050,,,9,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas",,Full waiver,,0,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas",,Full waiver,,1,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Office hours,Responding to questions on Piazza/Canvas",,Half waiver,,0,,10-15,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Industrial & Systems Engg,Master's,Graduate Teaching Assistant,,Grading assignments,,Half waiver,,0,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours",,Full waiver,,N/A,,,,,,,,,,
Yes,Atlanta,College of Sciences,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,15-20,No,Yes,Monthly,1050,,,6,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Online,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,0,,15-20,Less required than worked most weeks,Yes,Monthly,1300,,,8,Communication
No,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Full waiver,,2,,5-10,,No,,,,,4,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Holding recitations,Conducting lab sessions",,Did not get a waiver,,2,,10-15,Department wants us to work a maximum of 10 hours per week. I tended to need to work 12+.,No,,,,"To my knowledge, we are not compensated at all. Many instructors tend to exploit this as free labor.",5,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Other (Please specify),Funded + waiver through RA,2,,5-10,,No,,,,,3,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Did not get a waiver,,2,,5-10,,No,,,,,2,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Don't know,,2,,5-10,,No,,,,Im not sure why BME Ph.D. students don’t get any additional compensation for the years we’re expected to TA,2,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,2,,10-15,,No,,,,,1,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Did not get a waiver,,2,,10-15,,No,,,,BME department is taking advantage of its PhD students by requiring this TA responsibility without paying them. This is seriously affecting their research progress (funded by outside sources).,1,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions",,Did not get a waiver,,2,,10-15,Was hired to do a max of 10 and I typically worked an average of 13-15 hours a week ,No,,,,,1,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,2,,5-10,,No,,,,,4,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Don't know,,2,,5-10,,No,,,,Our department should compensate the labs for students TA'ing. As far as I know the BME department does not currently do this.,3,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Teaching classes,Conducting lab sessions,Other (Please specify)",BME Capstone Lab Section,Other (Please specify),"My GRA responsibilty in BME covered my waiver. BUT I had to add TA duty on top of it AND got absolutely NO extra benefit for it (at the very least, provide a stipend to cover health insurance!!)",2,,5-10,,No,,,,,4,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes,Conducting lab sessions",,Did not get a waiver,,2,,5-10,,No,,,,,10,"Interactions with students, how to make material understandable to different students "
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading exams,Office hours",,Other (Please specify),Already receive a tuition waiver for research assistantship,2,,5-10,,No,,,,"I think that the school/department should be REQUIRED to provide additional compensation to TAs if they are already receiving a tuition waiver for research assistantship, which they will still be doing while they are TAing",1,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Conducting lab sessions",,Other (Please specify),I think it covered the full tuition but otherwise my PI would have covered it so it didn't impact me,2,,10-15,"I don't think there were clear expectations on the hours because professors didn't know how long it took to do all the work. When you add up each weeks lab reports for each lab and each student, along with office hours and extra help students needed and the weekly meetings with professors, it ended up being more time than I wanted to spend on it per week.",No,,,,We were doing extra work in addition to research and not getting any additional compensation. We should be compensated for doing extra work.,1,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading exams,Office hours,Holding recitations",,Did not get a waiver,,2,,5-10,,No,,,,,8,"Most useful skills were learning to teach using different online platforms, managing students, and being an impartial grader"
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Don't know,,2,,5-10,,No,,,,,5,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Did not get a waiver,,2,,5-10,"Not usually, but in some weeks yes.",No,,,,The department should compensate us with added money for the extra work.,0,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Don't know,,2,,5-10,,No,,,,,7,"Learning how to teach, which requires understanding how your audience learns best"
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours",,Other (Please specify),waiver was not specifically linked to TAship,3,,10-15,,No,,,,TAships are considered more of the academic side of the program than for compensation; certain TA positions for some classes do come with additional compensation,2,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,3,,10-15,"I think, as a TA, I am hired to work for 2 hours per week.",No,,,,,4,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Conducting lab sessions",,Don't know,,3,,10-15,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,3,,5-10,"Yes, I worked around 10-12h a week",No,,,,,2,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Teaching classes",,Full waiver,,3,,5-10,,No,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Conducting lab sessions",,Full waiver,,3,,10-15,,No,,,,,6,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Other (Please specify)",Attending classes and assisting instructors with any online class related issues. Also take attendance every class. ,Full waiver,,3,,5-10,,Yes,Monthly,,,,3,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,3,,15-20,"I work for 50 hours lab work a week, and 15 to 20 hours TA work a week.",No,,,,We are hired as GRA so we don't get paid on TA work,5,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,3,,>20,Not much,Yes,Monthly,2466,,No,10,Ability to utilize my own knowledge to make judgements on other students' thought processes
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Conducting lab sessions",,Full waiver,,3,,5-10,,No,,,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Holding recitations,Teaching classes,Other (Please specify)",I taught a couple of classes,Full waiver,,3,,<5,,Yes,Monthly,2490,,,8,"Interacting with students, managing different expectations whilst grading and teaching recitation"
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Head Teaching Assistant,,"Grading exams,Office hours,Teaching classes",,Don't know,,3,,<5,,No,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,3,,5-10,,No,,,,"If I’m not being paid extra to be a TA, why am I expected to put in a lot of work? I do it out of good will for the students and because I try not to be a terrible person. That being said, I cannot possibly care past the bare minimum  and I should not be expected to.",,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Head Teaching Assistant,,"Grading assignments,Office hours,Holding recitations,Teaching classes",,Did not get a waiver,,3,,<5,,No,,,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Conducting lab sessions",,Full waiver,,3,,5-10,,No,,,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,3,,10-15,"Actual hours might be slightly higher, but expected and actual hours are similar.",No,,,,"Grad students get hired as full time GRAs for all semesters. When TAing, pay isn't split between GRA and GTA and there is no extra pay for TAing in addition to research, but most advisors are understanding about TA duty slightly decreasing research productivity.",6,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Conducting lab sessions",,Other (Please specify),GRA Tuition Waiver,3,,10-15,No,No,,,,"ChBE does not pay students extra for TAing and as a result, many students don't care to be good TA's and only care about doing the minimum. If we were paid based on the student evaluation surveys and the end of the semester, this would motivate TA's to help students more.",1,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,3,,5-10,Having to attend lectures makes it go over the expected 5h/week,No,,,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,3,,5-10,,No,,,,,2,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes",,Full waiver,,3,,5-10,,No,,,,"I do feel like TAs should be compensated for the time they put in. Being a TA is a big time commitment and sometimes takes time from our research, which is very important because most students funding come from research.",2,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Other (Please specify)",answering questions via email and in person ,Did not get a waiver,,3,,5-10,I was not hired as a TA nor do I get paid ,No,,,,there is no compensation in my school ,3,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Office hours,Conducting lab sessions",,Full waiver,,3,,<5,,Yes,Hourly,,,,3,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Teaching classes,Conducting lab sessions",,Don't know,,2,,15-20,,No,,,,,8,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Don't know,,3,,5-10,,Yes,Monthly,,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Head Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Other (Please specify)",Holding tutorials,Other (Please specify),We do not get a waiver specifically for TAship. We are required to work as TA under GRA,3,,10-15,,No,,,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading exams,Office hours,Holding recitations",,Full waiver,,3,,10-15,,No,,,,"I think TAs should earn extra each month, besides out stipend.",3,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Did not get a waiver,,3,,5-10,no,No,,,,"should be paid, not an ""educational experience""",7,communication of technical concepts to people learning them
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams",,Did not get a waiver,,3,,10-15,,Yes,Monthly,250,,,8,Generating different scenario to which any of the students' report could be fitted
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Other (Please specify),2x GTA 1x Teaching practicum instructor,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes,Other (Please specify)","writing exams, writing/delivering lectures",Did not get a waiver,,3,,10-15,"The first TAship was like 20 hrs/week, second 2 were like 10-15",No,,,,"lol, we don't get compensation, we're just required to TA 3x for the degree. As far as I know they don't comp our PIs for the TAship",2,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes",,Full waiver,,3,,10-15,,No,,,,,10,Ability to gauge what others do not understand to teach more effectively. 
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Don't know,,3,,5-10,No,No,,,,,7,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Teaching classes,Other (Please specify)",Creating assignments/projects ,Did not get a waiver,,3,,10-15,I have no idea how many hours I was supposed to work ,Yes,Monthly,,,We are required to TA for free as a part of the PhD program. And it’s ridiculous. ,5,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes",,Other (Please specify),"Don't pay tuition as PhD student, not sure if TA hours are the reason why",3,,10-15,,No,,,,"I think there is a large discrepancy in ratio of number of TAs to number of students for a class. Some classes have a lot of TAs, while some classes with the same number of students have only one. The TA/student ratio really affects the work load.",10,"Preparing course material, speaking in front of a large group, answering questions you haven't prepared for, explaining fundamental concepts"
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,Office hours,,Did not get a waiver,,3,,<5,,No,,,,,6,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Did not get a waiver,,3,,5-10,no,No,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Office hours,Conducting lab sessions",,Did not get a waiver,,3,,<5,No,No,,,,,3,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes",,Did not get a waiver,,3,,5-10,No,No,,,,,7,"I think the most important skills I gained were lesson planning for the weekly recitation sections and writing exam questions. Both of these, put together, really helped me think about and experience how to construct learning objectives for a class, cater a lesson to meet those objectives, and properly assess students' understanding of the things I taught them. "
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours",,Did not get a waiver,,3,,5-10,More hours were put in towards the end of the semester than at the beginning.,No,,,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Teaching classes",,Other (Please specify),GRA gave me a waiver but I'm required to TA,3,,<5,,No,,,,,8,Learning how to communicate information effectively. Learning how to predict and prepare for questions.
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes",,Did not get a waiver,,3,,5-10,Depends on whether I have to make exam questions. Responsibilities add up during those weeks.,No,,,,,10,"Being able to communicate complex concepts, dealing with other students and peers"
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Head Teaching Assistant,,"Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)","Creating homeworks, quizzes, and exercises",Don't know,,3,,5-10,,Yes,Monthly,,,,8,Communication skills with students
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Office hours",,Don't know,,3,,5-10,,No,,,,,6,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Conducting lab sessions",,Full waiver,,3,,5-10,,No,,,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,3,,10-15,,No,,,,,9,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Conducting lab sessions",,Full waiver,,3,,<5,,Yes,Monthly,,,,3,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Holding recitations",,Full waiver,,3,,5-10,"Not a huge discrepancy, but my hours were definitely on the high end (around 10 h/week).",No,,,,,9,Overall teaching skills and interacting with students.
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Office hours,Other (Please specify)",Facilitating PSS sessions,Full waiver,,2,,<5,No,No,,,,,3,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Conducting lab sessions",,Full waiver,,3,,5-10,,No,,,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Did not get a waiver,,3,,5-10,,No,,,,,4,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes,Other (Please specify)",Creating HW grading rubrics,Did not get a waiver,,2,,5-10,"The hours fluctuate wildly, sometimes requiring two or three times the scheduled amount",No,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,3,,>20,"I TAed a lab course and a such course tends to require extended support for the students, resulting in a longer work hours.",Yes,Monthly,500,,n.a.,10,Identifying the needs of the students and addressing them!
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,3,,5-10,,No,,,,,6,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours",,Full waiver,,3,,<5,,No,,,,,7,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Holding recitations",,Don't know,,3,,10-15,,No,,,,,9,Working with students and critiquing their work. 
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Conducting lab sessions",,Full waiver,,3,,5-10,,No,,,,,4,
Yes,Atlanta,College of Sciences,,School of Mathematics,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,2,,10-15,,Yes,Monthly,2300,,,5,
Yes,Atlanta,Ivan Allen College,,,School of Modern Languages,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Full waiver,,2,,15-20,"Not really. Between going to class, my office hours, and grading it about adds up.",Yes,Monthly,1029.87,,I feel that bi-weekly pay would be better than monthly for keeping up with bills and life expenses,10,"classroom management, public speaking, time management, communication"
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Conducting lab sessions,Other (Please specify)",Making quizzes,Full waiver,,0,,15-20,,Yes,Monthly,2087,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,7,,10-15,Yes. GRA is only mode of payment. No payment for TA duties but it is a mandatory reuquirement in MSE department.,No,,,,I feel it is unfair.,3,
